disease_name,file_name,conclusion
纵膈肿瘤,呼吸.txt,"{'疾病名称': '纵膈肿瘤', '诊断': '胸腺瘤', '病情现状': '术后＞1年', '体检项目': '病历、胸部CT复查报告', '项目结果': '正常', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
肺纤维化,呼吸.txt,"{'疾病名称': '肺纤维化', '诊断': '肺纤维化', '病情现状': '——', '体检项目': '——', '项目结果': '——', '重疾险': '拒保', '防癌险': '', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': '备注：该评点仅针对明确诊断为肺纤维化情况，如为检查报告描述或局灶性肺纤维化，请参照具体疾病进行评点。'}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '急性', '病情现状': '治愈≤3月', '体检项目': '——', '项目结果': '', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '延期', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '急性', '病情现状': '治愈>3月', '体检项目': '——', '项目结果': '', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '标体', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '肺功能（常见的为FVC,FEV1）', '体检项目': '', '项目结果': 'FEV1 和 FVC ≥ 80％', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '肺功能（常见的为FVC,FEV1）', '体检项目': '', '项目结果': '50%≤（FEV1和FVC） ＜80％', '重疾险': '拒保', '防癌险': '拒保', '护理险': '标体', '医疗险': '拒保', '意外险': '拒保', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '肺功能（常见的为FVC,FEV1）', '体检项目': '', '项目结果': 'FEV1 和 FVC＜50％', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '过去1年使用激素超过一个月', '体检项目': '过去1年使用激素超过一个月', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '有吸烟习惯（既往病历或投保告知）', '体检项目': '有吸烟习惯（既往病历或投保告知）', '项目结果': '', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '肺心病、心力衰竭等', '体检项目': '肺心病、心力衰竭等', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}"
